Classifier,Feature,Percentage,Accuracy,Balanced Accuracy,F1 Score
random_forest,rel_dim_block,0.4,1.0,1.0,1.0
random_forest,rel_dim_block,0.5,1.0,1.0,1.0
random_forest,rel_dim_block,0.6,1.0,1.0,1.0
random_forest,rel_dim_block,0.7,1.0,1.0,1.0
random_forest,rel_dim_block,0.8,1.0,1.0,1.0
random_forest,rel_dim_block,0.9,1.0,1.0,1.0
random_forest,simple_rel,0.1,0.9583904892546868,0.5,0.0
random_forest,simple_rel,0.2,0.9592335390946504,0.5,0.0
random_forest,simple_rel,0.3,0.959288653733098,0.5,0.0
random_forest,simple_rel,0.4,0.9580761316872428,0.5,0.0
random_forest,simple_rel,0.5,0.9580246913580248,0.5,0.0
random_forest,simple_rel,0.6,0.9588477366255144,0.5,0.0
random_forest,simple_rel,0.7,0.9571330589849107,0.5,0.0
random_forest,simple_rel,0.8,0.9591049382716048,0.5,0.0
random_forest,simple_rel,0.9,0.9573045267489712,0.5,0.0
svm,rel_dim,0.1,0.9833676268861454,0.8686407824894138,0.7883636363636364
svm,rel_dim,0.2,0.991898148148148,0.9513949242873632,0.9044006069802732
svm,rel_dim,0.3,0.9963256907701352,0.97992720105846,0.9570446735395188
svm,rel_dim,0.4,0.9985425240054868,0.9912815951893122,0.9823468328141224
svm,rel_dim,0.5,0.9997942386831276,0.9974358974358974,0.9974293059125964
svm,rel_dim,0.6,0.9998713991769548,0.9984025559105432,0.9984
svm,rel_dim,0.7,1.0,1.0,1.0
svm,rel_dim,0.8,1.0,1.0,1.0
svm,rel_dim,0.9,1.0,1.0,1.0
svm,rel_dim_block,0.1,0.9874256973022404,0.9934394942446472,0.8688915375446961
svm,rel_dim_block,0.2,1.0,1.0,1.0
svm,rel_dim_block,0.3,1.0,1.0,1.0
svm,rel_dim_block,0.4,1.0,1.0,1.0
svm,rel_dim_block,0.5,1.0,1.0,1.0
svm,rel_dim_block,0.6,1.0,1.0,1.0
svm,rel_dim_block,0.7,1.0,1.0,1.0
svm,rel_dim_block,0.8,1.0,1.0,1.0
svm,rel_dim_block,0.9,1.0,1.0,1.0
svm,simple_rel,0.1,0.7069615912208504,0.8471103954195742,0.2214123006833713
svm,simple_rel,0.2,0.7080118312757202,0.84756629741524,0.2244235695986336
svm,simple_rel,0.3,0.7075249853027631,0.8472637961470566,0.2253795251070455
svm,simple_rel,0.4,0.5420096021947873,0.7611553250469463,0.1526015228426396
svm,simple_rel,0.5,0.7074074074074074,0.8475884244372991,0.2152317880794702
svm,simple_rel,0.6,0.7069187242798354,0.8473134128366608,0.2154905335628227
svm,simple_rel,0.7,0.7031893004115226,0.8457494207806096,0.2034054302807179
svm,simple_rel,0.8,0.7067901234567902,0.8475935828877006,0.2061281337047353
svm,simple_rel,0.9,0.5426954732510288,0.7617899249732047,0.1492822966507177
