C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
100.0,balanced,0.001,rbf,True,0.8522460282050874,0.0039915327255995794,0.2924635272602699,0.00355321326426816,0.8106554105617793,0.0027170839976669602,0.7345907693129915,0.00363732927178202,136.57285194396974,15.48438481233489
100.0,balanced,0.01,sigmoid,True,0.8512573000942577,0.00452566518820308,0.29266734058343413,0.00440976804701716,0.811816963649243,0.00414439775428904,0.7362063348174459,0.0056297772477279006,108.16569623947144,6.519583555888291
10.0,balanced,0.01,sigmoid,True,0.8512573000942577,0.00452566518820308,0.29266734058343413,0.00440976804701716,0.811816963649243,0.00414439775428904,0.7362063348174459,0.0056297772477279006,111.27651643753052,9.00767674023212
1.0,balanced,0.01,rbf,True,0.8489037825879739,0.02801969845659306,0.2972513457987499,0.0280108609608097,0.8031513040694238,0.03742654644370958,0.7284901723790613,0.04992652370946442,137.17820591926574,14.01012586857428
100.0,balanced,0.001,sigmoid,True,0.8367836158837314,0.0046909310374838005,0.2610385811760175,0.00437741558013708,0.7917720485437237,0.00453263487412252,0.7112063348174459,0.0061183147925382405,132.97107362747192,10.798313904453911
100.0,balanced,0.0001,sigmoid,True,0.8367836158837314,0.0046909310374838005,0.2610385811760175,0.00437741558013708,0.7917720485437237,0.00453263487412252,0.7112063348174459,0.0061183147925382405,138.7781069278717,3.5833494243620008
10.0,balanced,0.001,sigmoid,True,0.8367836158837314,0.0046909310374838005,0.2610385811760175,0.00437741558013708,0.7917720485437237,0.00453263487412252,0.7112063348174459,0.0061183147925382405,123.55381565093994,14.077087987009504
1.0,balanced,0.01,sigmoid,True,0.8367836158837314,0.0046909310374838005,0.2610385811760175,0.00437741558013708,0.7917720485437237,0.00453263487412252,0.7112063348174459,0.0061183147925382405,141.54655814170837,13.399050659374062
0.1,balanced,0.01,sigmoid,True,0.8367836158837314,0.0046909310374838005,0.2610385811760175,0.00437741558013708,0.7917720485437237,0.00453263487412252,0.7112063348174459,0.0061183147925382405,160.588774394989,28.386719518863664
10.0,balanced,0.1,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,72.66884298324585,5.298707654256531
1.0,balanced,auto,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,735.7403901100158,40.60155664782084
1.0,balanced,0.1,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,73.01619868278503,7.897159559866485
10.0,balanced,scale,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,96.73218221664428,15.489406849723334
10.0,balanced,auto,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,3925.869466352463,196.6067558371905
0.1,balanced,scale,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,75.82782392501831,4.281932370878566
1.0,balanced,scale,poly,True,0.822309931673205,0.00551849859687334,0.24184924287265028,0.0048499960880868595,0.7705343777794482,0.00553469791545772,0.6862063348174459,0.007161010976084519,74.75198860168457,10.122283120751678
