C,max_iter,penalty,solver,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
100.0,5000,l2,saga,0.9818958972053504,0.004795070589894019,0.9762714675895552,0.006648673658382781,0.998061132897579,0.00053972876975728,0.9981069958847737,0.00052004805076944,39.33623895645142,5.816989826550169
10.0,3000,l2,liblinear,0.9815577343951324,0.004744387312636099,0.9765405505097832,0.00658362581223462,0.9980879676930288,0.0005331687037912,0.9981378600823045,0.00051250350619728,0.4678928375244141,0.2111326503505067
10.0,4000,l2,liblinear,0.9815577343951324,0.004744387312636099,0.9765405505097832,0.00658362581223462,0.9980879676930288,0.0005331687037912,0.9981378600823045,0.00051250350619728,0.4959021568298339,0.1088278146104289
10.0,5000,l2,liblinear,0.9815577343951324,0.004744387312636099,0.9765405505097832,0.00658362581223462,0.9980879676930288,0.0005331687037912,0.9981378600823045,0.00051250350619728,0.518001937866211,0.1674599952282571
10.0,2000,l2,liblinear,0.9815577343951324,0.004744387312636099,0.9765405505097832,0.00658362581223462,0.9980879676930288,0.0005331687037912,0.9981378600823045,0.00051250350619728,0.4694888114929199,0.1431037722890939
10.0,1000,l2,liblinear,0.9815577343951324,0.004744387312636099,0.9765405505097832,0.00658362581223462,0.9980879676930288,0.0005331687037912,0.9981378600823045,0.00051250350619728,0.4899079799652099,0.0898071649211715
1.0,2000,l1,liblinear,0.9813376621295002,0.004836467188265159,0.9768340755729137,0.00651307853992326,0.9981158054445739,0.00052549653369242,0.9981687242798353,0.00050369791383898,3.315623378753662,0.4132549588987222
1.0,4000,l1,liblinear,0.9813376621295002,0.004836467188265159,0.9768340755729137,0.00651307853992326,0.9981158054445739,0.00052549653369242,0.9981687242798353,0.00050369791383898,4.651893138885498,0.7237891831315798
1.0,1000,l1,liblinear,0.9813376621295002,0.004836467188265159,0.9768340755729137,0.00651307853992326,0.9981158054445739,0.00052549653369242,0.9981687242798353,0.00050369791383898,3.3888969898223875,0.3336015889818614
1.0,5000,l1,liblinear,0.9813376621295002,0.004836467188265159,0.9768340755729137,0.00651307853992326,0.9981158054445739,0.00052549653369242,0.9981687242798353,0.00050369791383898,4.226800918579102,0.3256649737315712
