activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
tanh,0.0001,"(64,)",0.01,0.9854955965165424,0.00302232816832512,0.9786755382839576,0.00400556063571912,0.9982322522545815,0.00034884556229808,0.9982510288065845,0.00035701155304522,8.466673278808594,4.486342198740329
tanh,0.0001,"(128,)",0.01,0.9852031003186754,0.0055866085269196,0.9749060377110033,0.00463873223106462,0.9978935927003203,0.00045457270478482006,0.9978909465020577,0.00051407967637544,11.629006099700929,2.1598888077320257
tanh,0.01,"(32, 32)",0.001,0.9851786288049901,0.00355288145780346,0.9792380538247356,0.00311487309519056,0.9982818180367001,0.00028619496428874,0.9983024691358026,0.00030813185645972,9.320913982391357,0.668733197205367
tanh,0.001,"(32,)",0.01,0.9851777911147982,0.00358829374883482,0.9790389878071141,0.0034971804268230404,0.9982680447169276,0.00028447025576158,0.9982921810699589,0.00027118150459246005,7.072232341766357,1.218554039822196
tanh,0.0001,"(32,)",0.01,0.9851349802297367,0.00300427107996216,0.9782391537645022,0.0044631608346323,0.9981983015013671,0.00037429974810242,0.9982201646090536,0.00037053244374247996,8.259406757354736,2.184576352013063
tanh,0.001,"(16, 16)",0.001,0.9848635491550581,0.0028072804554083396,0.9775250917039179,0.0035541641018523003,0.9981383251856221,0.00030571683311964,0.9981584362139918,0.00031108945172305996,8.598916053771973,2.063186797094008
tanh,0.0001,"(16, 16)",0.001,0.984861884992306,0.00266005584847556,0.9774256772138725,0.0036511714777370404,0.998128997851197,0.00031100808102606004,0.9981481481481481,0.0003135939674324,12.813418531417849,3.269097209593693
tanh,0.001,"(64,)",0.001,0.9848394973923933,0.0028331514219303,0.9793941553657184,0.0033719496822589403,0.998298439897761,0.0002960980089714,0.9983230452674897,0.00030285024777746,13.48562126159668,2.371438858812656
relu,0.01,"(8,)",0.1,0.9847451472200841,0.0052119796850558595,0.9727957695812135,0.007500082148622961,0.9976969887670901,0.0007153639500098,0.9976748971193417,0.00079667441964308,2.665136289596558,0.4423323227280956
relu,0.0001,"(32, 32)",0.001,0.9846615731751254,0.00456029737034926,0.9781620234873223,0.0057723168157472,0.9981896444629615,0.00050940607446844,0.9982098765432099,0.00052746678485176,22.18240947723389,12.478568045549553
tanh,0.001,"(16,)",0.01,0.9845322198009795,0.00246917535077342,0.9779308746985433,0.00267432684563464,0.9981758923232537,0.00023569706587459998,0.9981995884773662,0.00024223459230092,4.589277839660644,0.6822503719805705
tanh,0.001,"(128,)",0.01,0.9844659094154844,0.0054303571842515795,0.9762449768974865,0.0036369953163654196,0.9980274162451795,0.00031807860904866,0.9980452674897119,0.00033203486493904,9.266823148727417,1.1628328604449487
tanh,0.1,"(32, 32)",0.001,0.9843864819688498,0.0031379769370255203,0.9773299125018997,0.00455773685347486,0.9981197456792283,0.00041391695701453995,0.9981378600823045,0.00044152290010082,14.708867979049682,1.084390647514632
tanh,0.001,"(32,)",0.001,0.9842875327442646,0.00361894185790234,0.9800570143507146,0.00283909134497,0.9983626270149111,0.00023648538875914,0.998395061728395,0.0002318650512001,12.970141983032226,2.1663606079226883
tanh,0.01,"(64, 64)",0.001,0.9842623483719631,0.0035886731688653,0.9795777725466982,0.0024762053426180203,0.9983218518735327,0.00021506195759642003,0.9983539094650207,0.00022140537347024002,18.15455613136292,3.572995896697348
relu,0.0001,"(128,)",0.01,0.9841328439040294,0.00230856140743378,0.9794377579623262,0.0033419490538225197,0.9983114377746096,0.00027968576244025996,0.998343621399177,0.00027800672430866,26.32927370071411,7.701946013317602
relu,0.01,"(16,)",0.01,0.9840881608522137,0.0032452048814648,0.9757942909020457,0.00273837255824254,0.997994009645355,0.00023559379504286003,0.998014403292181,0.00023887422530096005,4.0963598728179935,0.867421915487848
tanh,0.0001,"(16,)",0.01,0.983996977483427,0.0029193837601249797,0.97896954216653,0.0026303279365998402,0.9982710901993703,0.00022760057994237998,0.9983024691358026,0.00023365602498403998,5.423072576522827,1.324365656746336
