C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
10,balanced,scale,sigmoid,TRUE,0.591056941,0.019194954,0.130247361,0.00944011,0.698023921,0.012528059,0.592086442,0.015947778,957.8524325,43.15557688
1,balanced,0.0001,rbf,TRUE,0.854027586,0.005218749,0.319835076,0.007842487,0.794147245,0.004739556,0.749218816,0.006127647,1088.861813,50.64499358
100,balanced,auto,sigmoid,TRUE,0.51631625,0.021187764,0.099984987,0.007879753,0.636548221,0.016916728,0.517152045,0.019492235,1151.220252,79.20045933
1,balanced,0.0001,sigmoid,TRUE,0.800882007,0.010139119,0.244263201,0.008916224,0.74923968,0.006735372,0.68226838,0.008975642,1176.15286,206.2845956
100,balanced,0.1,sigmoid,TRUE,0.514776576,0.016778698,0.099121668,0.005450492,0.631040723,0.012719079,0.509540388,0.014445692,1273.121147,67.93667821
0.1,balanced,0.01,sigmoid,TRUE,0.613105896,0.028829751,0.144075239,0.016050195,0.709618362,0.018865882,0.608600844,0.02408632,1286.422131,81.22109688
1,balanced,scale,sigmoid,TRUE,0.589996879,0.0203089,0.129639873,0.010167578,0.698920485,0.016140859,0.592750912,0.020258527,1350.11635,60.36788801
100,balanced,0.0001,poly,TRUE,0.598876424,0.008633666,0.071732723,0.002857025,0.681767151,0.019375134,0.620246153,0.018459366,1367.218167,47.67623712
10,balanced,auto,sigmoid,TRUE,0.513959384,0.023514182,0.099327725,0.008493768,0.634811564,0.017946847,0.514913019,0.020822557,1418.135989,68.3141422
100,balanced,0.1,poly,TRUE,0.986729899,0.002717259,0.967191969,0.006020083,0.997191447,0.000536279,0.997150206,0.000559139,1450.833644,274.6222786
10,balanced,0.1,sigmoid,TRUE,0.514867781,0.016977031,0.099185868,0.00551055,0.632215981,0.01351654,0.510909944,0.015388176,1510.725809,113.6714217
10,balanced,0.0001,poly,TRUE,0.5,0,0.023321623,0.0064,0.573190702,0.07476878,0.606185759,0.073333333,1522.205644,79.97991891
0.1,balanced,scale,sigmoid,TRUE,0.599166326,0.016471344,0.13382247,0.008879334,0.705237956,0.012164248,0.600496376,0.015508084,1628.384573,41.51519379
1,balanced,auto,sigmoid,TRUE,0.516740287,0.021132263,0.100115539,0.007875783,0.637062667,0.016906871,0.517734251,0.019517135,1668.139875,188.3616955
0.1,balanced,0.001,rbf,TRUE,0.847763687,0.004692056,0.302535,0.006965172,0.785559721,0.004861074,0.736132396,0.006293131,1731.410576,28.24356912
1,balanced,0.0001,poly,TRUE,0.5,0,0.016492401,3.78E-05,0.727892625,3.37E-05,0.759248211,4.12E-05,1753.504208,63.14239166
1,balanced,0.1,sigmoid,TRUE,0.51787588,0.018000434,0.100499505,0.006254818,0.660940163,0.020084201,0.545441883,0.023878203,1802.778751,126.3098971
1,balanced,0.001,poly,TRUE,0.71320892,0.006187398,0.166643262,0.002922255,0.590118001,0.008566176,0.48438211,0.009002138,1804.242701,50.32749505
0.1,balanced,0.001,sigmoid,TRUE,0.800283143,0.009965064,0.243283216,0.008426502,0.748802531,0.006605557,0.681561217,0.008729242,2102.412901,79.83913437
0.1,balanced,auto,sigmoid,TRUE,0.517394547,0.020683606,0.100340847,0.00781642,0.644460538,0.019534566,0.526473444,0.022916718,2373.204151,166.2800264
0.1,balanced,0.1,sigmoid,TRUE,0.481249689,0.019483041,0.094789879,0.005581283,0.469070049,0.025809161,0.356503784,0.022761176,2665.823325,87.99253977
0.1,balanced,0.0001,poly,TRUE,0.515964912,0.002046053,0.080621305,0.013991044,0.517938279,0.153160772,0.53569041,0.149175173,2680.180351,92.17151499
0.1,balanced,0.001,poly,TRUE,0.614873542,0.010644809,0.126385279,0.003845272,0.584134508,0.023116948,0.506873538,0.021115435,2871.835739,43.59171382
0.1,balanced,0.0001,rbf,TRUE,0.709552548,0.010766047,0.168314887,0.004796945,0.637357383,0.008644653,0.532138027,0.010004621,2945.277165,38.90330143
0.1,balanced,0.0001,sigmoid,TRUE,0.65805432,0.007304991,0.144578927,0.002390938,0.521364881,0.008846351,0.408024835,0.008331172,3341.460924,124.6942346
