C,max_iter,penalty,solver,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
0.1,3000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0369156837463378,0.016973288673646
0.1,5000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0573029994964599,0.0282308355778811
0.1,3000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0212715148925781,0.0078899407853054
0.1,2000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0455722332000732,0.0283021817220329
0.1,2000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0303390502929687,0.0167383652660721
0.1,2000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0728975296020507,0.0183162330442423
0.1,2000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0308001995086669,0.0100168933705576
0.1,1000,l2,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0575329780578613,0.0362715107937088
0.1,1000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0340571880340576,0.0098092013492404
0.1,5000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0661452770233154,0.0294181404481155
1.0,1000,l1,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0248999595642089,0.0059230329746334
1.0,5000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0324216842651367,0.0123966870018019
1.0,3000,l2,liblinear,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.030160903930664,0.0122625723253703
1.0,5000,l1,saga,0.5,0.0,0.0,0.0,0.9143766458120272,6.082657150086221e-05,0.9420465645465645,4.115226337448e-05,0.0569148063659668,0.0219789090015305
