C,class_weight,gamma,kernel,probability,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
1.0,balanced,0.01,sigmoid,True,0.6033521370958953,0.05228259460780031,0.15238320681754458,0.021374190259647822,0.7023629320006652,0.03782820676896098,0.6020541701097256,0.04682707873461386,624.507753419876,74.71574955908814
10.0,balanced,0.01,sigmoid,True,0.6016086397653545,0.05247325202595378,0.15120164569132,0.02160439525596036,0.7012886991655798,0.03772803942731036,0.6006574187129743,0.046693843749906885,606.9480649948121,66.7309622104042
100.0,balanced,0.01,sigmoid,True,0.6012531447378795,0.052764294355253136,0.15093136486079645,0.021890341532805342,0.7011648404282502,0.0377832395725334,0.6004987091098203,0.0467567589305772,370.1219288349152,66.93569876583793
0.1,balanced,0.001,poly,True,0.5995128715795638,0.00574748923688152,0.1489463178721301,0.0068001569150471204,0.4890249970825282,0.008893393200877061,0.4235842860842861,0.00677416297069042,1036.008383321762,35.69789750505235
0.1,balanced,scale,sigmoid,True,0.5905392785688359,0.0658558120918326,0.14297285157863115,0.0244857227470757,0.6937799478886019,0.0546089799878922,0.5889741534185979,0.06538905865832868,932.701501083374,88.09588427933012
1.0,balanced,scale,sigmoid,True,0.5705105760361491,0.06757830884452594,0.13201272956879476,0.02558040248942084,0.6751050011581871,0.054241359216451145,0.5646675546675547,0.06474600982747418,769.3109586715698,118.75589594828382
10.0,balanced,0.1,sigmoid,True,0.5480211919405795,0.07044100883116572,0.11989340541683828,0.025943228904227355,0.6567251568379833,0.058998988639708164,0.5470367595367596,0.06644798954705475,993.4968044757844,50.020274648694304
100.0,balanced,0.1,sigmoid,True,0.5478065407259104,0.06986695357754065,0.11973793356881719,0.025904423098355202,0.657742181163134,0.058786776265943017,0.5482160637716194,0.06617991679827875,580.8114387989044,35.76076553169101
100.0,balanced,scale,sigmoid,True,0.5432987502631313,0.06632926105377254,0.12195508235686026,0.02486543898176986,0.658060715953704,0.055650452004574545,0.5437151634373857,0.06583320178284739,518.0963174343109,38.52294588789493
0.1,balanced,0.0001,poly,True,0.5156822612085771,0.0015827031595153599,0.08047789343949421,0.013759625882208599,0.5174744678803618,0.15196783662571406,0.5353368750590973,0.1483369503486523,1023.5664738178252,29.49303654169932
1.0,balanced,auto,sigmoid,True,0.503210759560224,0.06935404215870329,0.10522246459769635,0.02480048310513846,0.6246679322393336,0.0605431036721364,0.5121695280028613,0.07004761539713322,1098.3184180259705,33.95790258981419
10.0,balanced,auto,sigmoid,True,0.5029249986864223,0.06787217533172027,0.10292823127694747,0.023067190257945357,0.6142537310361782,0.05414540233218942,0.49772921522921526,0.061358936473072376,971.4479476928713,35.87438418914106
10.0,balanced,0.0001,poly,True,0.5,0.0,0.02332162282657152,0.0063999999999999795,0.5731907015469229,0.07476878021643098,0.6061857586857587,0.07333333333333333,702.2443712711334,35.1860835312395
1.0,balanced,0.0001,poly,True,0.5,0.0,0.01649240108274538,3.782312726634e-05,0.727892625189921,3.3749476763648056e-05,0.7592482106370995,4.115226337448e-05,967.5060272693634,28.266475950864663
100.0,balanced,auto,sigmoid,True,0.49136028864736625,0.08812681556025714,0.09937989167820845,0.02923211972584654,0.604130296627724,0.07301764847225559,0.4862106103772771,0.08248519384123364,560.0892629146576,24.311937790000236
0.1,balanced,0.1,sigmoid,True,0.4108243811157477,0.015790024592187042,0.08721532711143476,0.00367441291117344,0.2878335422126147,0.012192494388120461,0.21897611647611645,0.00818050313381124,1518.2776560783386,38.65823293260494
0.1,balanced,auto,sigmoid,True,0.40515194721881304,0.02085185033176428,0.07860505680253178,0.0065879963430417795,0.4357752688443862,0.01042339146247908,0.3217152908819575,0.008984857238880161,1210.2929314613343,37.27190588005162
1.0,balanced,0.1,sigmoid,True,0.3914838222177396,0.02113941233093618,0.07251889316167334,0.00943130101692166,0.501557375985185,0.021241849790409262,0.374931190208968,0.020939057915839922,1207.8524477481842,66.09306427125493
