activation,alpha,hidden_layer_sizes,learning_rate_init,mean_test_balanced_accuracy,std_test_balanced_accuracy,mean_test_f1,std_test_f1,mean_test_f1_weighted,std_test_f1_weighted,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
tanh,0.0001,"(8,)",0.001,0.944021215,0.013562635,0.921498938,0.013100724,0.994132684,0.000918104,0.994283001,0.000855991,10.75315032,1.561763189
relu,0.01,"(64, 64)",0.01,0.954605163,0.014976492,0.921475177,0.009869108,0.993992665,0.000710863,0.99408911,0.000632788,25.27764792,4.831930274
tanh,0.01,"(16,)",0.01,0.945281463,0.018962332,0.921373407,0.013072169,0.994057469,0.000940393,0.994209967,0.000876585,5.161520958,0.966992925
tanh,0.01,"(64, 64)",0.001,0.950044741,0.015116106,0.921350788,0.011338272,0.994035423,0.000801079,0.994142812,0.000773803,20.57066522,2.708521191
relu,0.01,"(32,)",0.001,0.946411403,0.018798985,0.921313099,0.013335235,0.994042184,0.000988844,0.994199679,0.000904375,10.35020719,1.290135647
tanh,0.0001,"(64, 64)",0.01,0.946989582,0.020571804,0.921303927,0.015341057,0.994015262,0.001160229,0.994137611,0.001106295,12.19143729,2.699645413
relu,0.0001,"(64,)",0.001,0.946315964,0.015883295,0.921151773,0.0139775,0.994109677,0.000997419,0.994230317,0.000957282,13.07126966,3.617613517
tanh,0.0001,"(16,)",0.001,0.951753701,0.015512439,0.921117479,0.012319556,0.994051347,0.000867406,0.994141907,0.000801903,10.45291724,0.887050287
relu,0.01,"(64,)",0.01,0.946041451,0.020279585,0.921100554,0.013766858,0.994030498,0.000996362,0.994183286,0.000907468,6.334337378,2.137944971
tanh,0.001,"(16,)",0.001,0.95174695,0.015233261,0.921096673,0.012389578,0.994043112,0.000875643,0.994133541,0.000815303,12.35742598,1.688271685
tanh,0.01,"(64,)",0.001,0.948627873,0.015687972,0.921057707,0.014469764,0.994071314,0.001027463,0.994191087,0.000960835,10.08997741,2.356672506
tanh,0.0001,"(128,)",0.001,0.944408808,0.019272493,0.921056463,0.011675569,0.994103945,0.00081002,0.99424411,0.000708788,15.60014472,3.484649938
relu,0.0001,"(32, 32)",0.001,0.949192534,0.014581916,0.920990902,0.012002009,0.99403973,0.000871117,0.994132863,0.000829859,13.70110655,4.828606698
tanh,0.01,"(128,)",0.001,0.948539393,0.016087511,0.920972571,0.010795862,0.9940623,0.00072933,0.994172433,0.000662051,14.35529084,2.268926635
relu,0.0001,"(128,)",0.01,0.946871424,0.02112685,0.920875543,0.018108804,0.994065714,0.001286941,0.994207141,0.001185076,14.01911855,4.742766064
tanh,0.01,"(32, 32)",0.01,0.948570477,0.022051035,0.920868027,0.016549559,0.993982061,0.001334147,0.994070456,0.00136622,5.627538061,2.298861663
tanh,0.01,"(64,)",0.01,0.943639015,0.020565542,0.920723088,0.0141004,0.994006804,0.001013258,0.994158187,0.000918596,6.609163523,2.221524368
tanh,0.01,"(32, 32)",0.001,0.944808638,0.014334126,0.920651837,0.009380932,0.994065918,0.000633141,0.994186564,0.000568545,9.173966885,1.90100409
tanh,0.0001,"(16, 16)",0.01,0.951390107,0.020252552,0.92060645,0.010848449,0.993983092,0.000733869,0.994067291,0.000725367,6.649540758,2.149941996
relu,0.1,"(32, 32)",0.01,0.946921856,0.019532013,0.920604601,0.013776262,0.99401176,0.000950628,0.9941531,0.000853259,12.12595444,3.113717537
tanh,0.1,"(32,)",0.001,0.936847458,0.012696281,0.920414337,0.012123518,0.994060098,0.000863098,0.994253041,0.000790251,8.123640394,1.838197852
relu,0.001,"(32, 32)",0.001,0.953802153,0.014298774,0.920407007,0.009183266,0.993923679,0.000642393,0.993970176,0.000646076,15.18769259,3.991142209
relu,0.001,"(32,)",0.01,0.946302487,0.018408772,0.920283972,0.013883804,0.993989028,0.001030248,0.994114209,0.001028302,6.88966341,1.17570834
tanh,0.1,"(64, 64)",0.001,0.942345472,0.020306191,0.920253781,0.013403075,0.994009492,0.000982385,0.994158866,0.000933538,16.58692322,2.160212142
tanh,0.001,"(64, 64)",0.01,0.949913765,0.017396252,0.920153904,0.010792545,0.993865097,0.000892503,0.993952426,0.000944705,11.09011097,2.595786862
relu,0.1,"(16, 16)",0.001,0.951245755,0.020201133,0.92013937,0.01327648,0.993903384,0.000991072,0.994000362,0.000942299,18.74203486,2.328225823
relu,0.0001,"(32,)",0.001,0.948382726,0.015097716,0.920118848,0.014613228,0.993962086,0.001128264,0.994058925,0.001106376,11.17887535,2.357198557
relu,0.0001,"(16,)",0.001,0.951551705,0.011407364,0.920085546,0.011747368,0.993924282,0.000885566,0.994011667,0.000852173,12.89849916,1.50456781
relu,0.001,"(64,)",0.001,0.944487754,0.011918537,0.920039509,0.011343836,0.994037158,0.000815134,0.994166667,0.000776098,12.11278553,3.08935561
tanh,0.001,"(8, 8)",0.01,0.943154314,0.017560522,0.91997188,0.010960308,0.99395017,0.000831731,0.994123479,0.000815432,4.924163771,1.253971759
tanh,0.1,"(16,)",0.01,0.943382847,0.019966104,0.919966756,0.014827359,0.993940237,0.001073839,0.994090354,0.001010857,3.553798008,0.814949767
relu,0.0001,"(128,)",0.001,0.947509513,0.013562459,0.919900541,0.012141272,0.993975375,0.000891298,0.994065369,0.000899095,19.06983199,4.734375369
tanh,0.1,"(128,)",0.001,0.936741201,0.016539206,0.919895686,0.010835476,0.994026893,0.000741065,0.994234726,0.000649741,12.77644844,1.089137268
relu,0.01,"(16, 16)",0.01,0.953498296,0.018067402,0.919891362,0.011465445,0.993872253,0.000806529,0.993947339,0.000762296,10.53814578,2.114006801
relu,0.1,"(128,)",0.001,0.944628936,0.021027083,0.919877652,0.012655183,0.993964765,0.000872162,0.994119975,0.000780973,22.19155641,2.181261849
tanh,0.001,"(64,)",0.001,0.945788007,0.019194239,0.919840069,0.013618162,0.994014794,0.000937533,0.994148012,0.000855547,10.68980699,2.415397032
relu,0.01,"(32, 32)",0.001,0.951565667,0.016120349,0.91980468,0.012760176,0.993937872,0.000928744,0.994018451,0.000873291,14.31230502,4.459340262
relu,0.0001,"(16, 16)",0.001,0.955375875,0.015705285,0.919775133,0.013250298,0.993816611,0.001014136,0.993893298,0.0009686,12.51757226,2.501320232
tanh,0.1,"(32, 32)",0.001,0.949782332,0.021727651,0.919576733,0.012026226,0.993896239,0.000849572,0.993998779,0.0007963,10.82301273,1.155243628
tanh,0.01,"(16, 16)",0.01,0.951306823,0.022935961,0.919546122,0.015238515,0.993844957,0.00114605,0.993948921,0.001117122,5.376566029,1.307067185
relu,0.1,"(64,)",0.001,0.938492779,0.020061924,0.919250451,0.014216784,0.993970644,0.001007601,0.994163049,0.00090517,13.90398588,1.978015603
relu,0.001,"(16, 16)",0.001,0.947157197,0.018718486,0.919087449,0.015215132,0.993885892,0.001147015,0.994015511,0.001116446,11.80548878,2.183220799
tanh,0.0001,"(64,)",0.001,0.943682159,0.01356495,0.919071755,0.011986387,0.993984303,0.000858777,0.994121671,0.000809573,11.12378054,1.444361207
tanh,0.1,"(8,)",0.001,0.932664755,0.013388829,0.918827464,0.014076399,0.993966397,0.0010061,0.994197418,0.000907896,8.679559088,1.658018927
tanh,0.1,"(8,)",0.01,0.949145531,0.020751526,0.918763649,0.013551222,0.993787802,0.000962599,0.99391964,0.000869508,3.458421564,1.15560248
tanh,0.1,"(16,)",0.001,0.935298418,0.015888037,0.918734511,0.015906951,0.993936509,0.001136121,0.994145977,0.001016077,9.304889059,0.925540266
relu,0.001,"(32,)",0.001,0.950057633,0.018609816,0.918686387,0.015000345,0.993820523,0.001116089,0.993914892,0.001071568,11.09439535,2.024307259
relu,0.0001,"(32,)",0.01,0.941019947,0.018940717,0.918463861,0.012040815,0.993904872,0.000833189,0.994066952,0.000780191,7.48352809,2.345451302
relu,0.1,"(8, 8)",0.001,0.939912974,0.013271929,0.918455068,0.012734078,0.993886759,0.000903257,0.994055985,0.000823337,13.08986473,1.712325334
relu,0.001,"(8, 8)",0.001,0.944511214,0.020850246,0.918078408,0.014680398,0.993795694,0.001060648,0.993948921,0.000975394,10.06598425,1.206078857
tanh,0.1,"(32, 32)",0.01,0.946295838,0.02045054,0.91807686,0.016511141,0.993699866,0.001259664,0.993809637,0.00122581,5.090894985,1.582979663
relu,0.0001,"(16,)",0.01,0.944069246,0.021200627,0.917758654,0.013712404,0.993825696,0.000927473,0.993974698,0.000830311,6.175971937,1.589789133
relu,0.01,"(16,)",0.01,0.946812153,0.017643857,0.917715834,0.014056231,0.993750452,0.001086052,0.993850563,0.001059309,4.865253162,0.840175326
relu,0.0001,"(64, 64)",0.01,0.944347849,0.021872195,0.917634035,0.016700425,0.993779728,0.001208717,0.993955026,0.001110855,19.46597347,6.570905265
relu,0.001,"(16,)",0.001,0.950930051,0.016244866,0.91753111,0.012311493,0.993720833,0.000882961,0.993808167,0.000828722,13.23107662,2.988977148
relu,0.01,"(8, 8)",0.01,0.943623578,0.021468087,0.91750881,0.014820014,0.993733632,0.001053365,0.993892959,0.000987945,8.062304163,1.629153327
relu,0.1,"(32,)",0.001,0.937666647,0.017955533,0.917363486,0.012887817,0.993802612,0.00091271,0.993996179,0.000827076,11.38498588,0.95795027
relu,0.001,"(8, 8)",0.01,0.948126568,0.020794027,0.917253892,0.010026096,0.993637281,0.000801002,0.993746665,0.000838371,6.2904109,1.248059359
relu,0.1,"(128,)",0.01,0.941727088,0.019351506,0.917130524,0.016421545,0.993721443,0.001172416,0.993917379,0.001037613,12.68822627,3.139665428
tanh,0.1,"(16, 16)",0.01,0.950695588,0.024750142,0.916967669,0.018197715,0.993618216,0.001397793,0.993714218,0.00136668,4.380312967,1.27623825
relu,0.1,"(16,)",0.01,0.942704997,0.021897638,0.916813159,0.01550007,0.993703275,0.001142972,0.993866617,0.001074718,6.733118534,1.14838001
relu,0.1,"(16, 16)",0.01,0.944654408,0.020946711,0.916779167,0.015407421,0.993682363,0.001104147,0.993852146,0.001010119,8.551019716,1.727174182
tanh,0.001,"(8,)",0.01,0.936258278,0.016833281,0.916630363,0.012393144,0.993744517,0.000893892,0.993950843,0.000840527,3.51004777,0.568810629
